shop,city,name,brand,price_jumbo_prime,price_regular,price_now,discount
JUMBO,Medellin,VINO AUTORITAS SAUVIGNON BLANC BOTELLA X 4 UND X 187 ML C/U,AUTORITAS,0,0,39990,0
JUMBO,Medellin,VINO FRONTERA MALBEC X750ML,FRONTERA,0,0,41990,0
JUMBO,Medellin,VINO TINTO FUZION SHIRAZ MALBEC 2018 BOTELLA X750ML,FUZION,0,0,32990,0
JUMBO,Medellin,VINO MORANDE CLASICO MERLOT X750ML,MORANDE,0,0,47990,0
JUMBO,Medellin,VINO LA FLOR MALBEC X750ML,LA FLOR,0,0,55990,0
JUMBO,Medellin,VINO FAUSTINO TINTO RIOJA CRIANZA BOTX750ML,FAUSTINO,0,0,107990,0
JUMBO,Medellin,VINO SANTIAGO RUIZ X 750 ML,SANTIAGO RUIZ,0,0,224990,0
JUMBO,Medellin,VINO TINTO UNDURRAGA CABERNET SAUVIGNONX750ML,UNDURRAGA,0,0,63990,0
JUMBO,Medellin,VINO TINTO SANGRE DE TORO RESERVA X 750 ML,SANGRE DE TORO,0,0,85990,0
JUMBO,Medellin,VINO CATANA ZAPATA ALAMOS CHARDONNAY X 750 ML,ALAMOS,0,0,63990,0
JUMBO,Medellin,VINO TINTO SANGRIA LOLEA NO.1 X 750 ML,LOLEA,0,0,55990,0
JUMBO,Medellin,VINO PATA NEGRA ROBLE X 750ML,PATA NEGRA,0,0,45990,0
JUMBO,Medellin,VINO ALTAS CUMBRES TINTO MALBEC X 750 ML,ALTAS CUMBRES,0,0,81990,0
JUMBO,Medellin,VINO UNDURAGA CABERNET PINOT X 375ML,UNDURRAGA,0,0,43990,0
JUMBO,Medellin,VINO EL ADIVINO X 750ML,EL ADIVINO,0,0,41990,0
JUMBO,Medellin,VINO MONTERIO TINTO TEMPRANILLO BOTX750ML,MONTEIRO,0,0,37990,0
JUMBO,Medellin,VINO TINTO HEREFORD MERLOT BOTX750ML,HAREFORD,0,0,45990,0
JUMBO,Medellin,VINO MARQUES DE CASA CONCHA TINTO CARMENERE X750ML,MARQUES,0,0,139990,0
JUMBO,Medellin,VINO SEPTIMA GRAN RESERVA X 750 ML,SEPTIMA,0,0,139990,0
JUMBO,Medellin,VINO TINTO FAMILIA GASCON SYRAH X750ML,FAMILIA GASCON,0,0,83990,0
JUMBO,Medellin,VINO TINTO BARON PHILIPPE ROTHSCHILD CABERNET SAUVIGNON X750ML,BARON PHILIPPE,0,0,61990,0
JUMBO,Medellin,VINO BLANCO VINAS DEL VERO LUCES BLEND PAGUE 2 LLEVE 3 X750ML C/U,VINAS DEL VERO,0,0,107990,0
JUMBO,Medellin,BRANDY DE JEREZ FUNDADOR PEDRO DOMECQ X750ML,FUNDADOR,0,0,75990,0
JUMBO,Medellin,VINO ALIWEN CABERNET CARMENERE X 750 ML,ALIWEN,0,0,75990,0
JUMBO,Medellin,VINO ÁLAMOS BONARDA X 750 ML,ALAMOS,0,0,65990,0
JUMBO,Medellin,VINO CASILLERO CABERNET X375CM3,CASILLERO DEL DIABLO,0,0,39990,0
JUMBO,Medellin,VINO YELLOW TAIL TINTO CABERNET SAUVIGNON X 750ML,YELLOW,0,0,49990,0
JUMBO,Medellin,VINO TINTO TRAPICHE CABERNET SAUVIGNON X750ML,TRAPICHE,0,0,53090,0
JUMBO,Medellin,VINO TARAPACA MERLOT BOTX750ML,TARAPACA,0,0,47990,0
JUMBO,Medellin,VINO SANTA RITA 120 RESERVA ESPECIAL CABERNET SAUVIGNON X4UND X187ML C-U,SANTA RITA,0,0,65990,0
JUMBO,Medellin,VINO ROSADO SANTA RITA 120 BOTELLA X 750 ML,SANTA RITA,0,0,61990,0
JUMBO,Medellin,VINO TINTO SANTA CAROLINA CABERNET MERLOT RESERVADO X750ML,SANTA CAROLINA,0,0,38790,0
JUMBO,Medellin,VINO TINTO BARON PHILIPPE ROTHSCHILD MERLOT X750ML,BARON PHILIPPE,0,0,61990,0
JUMBO,Medellin,VINO VINA MAIPO ROSE X750ML,VINA MAIPO,0,0,39990,0
JUMBO,Medellin,VINO GATO NEGRO BOTELLA X 1500 ML,GATO NEGRO,0,0,89990,0
JUMBO,Medellin,VINO ANGELICA ZAPATA CABERNET FRANC X 750 ML,CATENA,0,0,199990,0
JUMBO,Medellin,VINO NORTON MALBEC RESERVA X 750 ML,NORTON,0,0,95990,0
JUMBO,Medellin,VINO LA CELIA TINTO PIONEER MALBEC BOTX750ML,LA CELIA,0,93890,70417,25
JUMBO,Medellin,VINO SIBARIS RESERVA CABERNET SAUVIGNON X 750 ML,SIBARIS,0,0,101990,0
JUMBO,Medellin,VINO PROTOS VERDEJO X 750 ML,PROTOS,0,0,81990,0
JUMBO,Medellin,VINOTINTO PATERNINA TEMPRANILLO BOTELLA X750ML,PATERNINA,0,0,49990,0
